"Domain","Vendor","Spam_Filter","Dmarc","SPF","DKIM","MX_Record","SPF_Value","DKIM_Value","Dmarc_Value"
"middletowncityschools.com","Google -Based on SPF","Unable to Determine","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","An SPF-record is configured but the policy is not sufficiently strict.","We couldn't find a DKIM record associated with your domain.","segmail.swoca.net","v=spf1 mx include:_spf.google.com ip4:216.48.129.218/32 ~all","",""
"hlschool.net","Google -Based on SPF","Unable to Determine","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","An SPF-record is configured but the policy is not sufficiently strict.","We couldn't find a DKIM record associated with your domain.","noeca.mx.esu.k12.oh.us","v=spf1 include:_spf.google.com ~all","",""
"madriverschools.org","Office 365","Direct Delivery","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","Your domain has a valid SPF record but your policy is not effective enough.","We couldn't find a DKIM record associated with your domain.","madriverschools-org.mail.protection.outlook.com","v=spf1 a mx mx:madriverschools-org.mail.protection.outlook.com ip4:209.34.116.134 include:spf.protection.outlook.com include:_spf.bbnotify.net +all","",""
"riverdale.k12.oh.us","Google -Based on SPF","Unable to Determine","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","An SPF-record is configured but the policy is not sufficiently strict.","We couldn't find a DKIM record associated with your domain.","mm2.woco-k12.org","v=spf1 ip4:192.208.114.75 ip4:208.108.160.0/21 ip4:208.108.245.26 ip4:208.108.5.0/24 include:_spf.google.com ~all","",""
"pccsd.net","Unable to Determine","Unable to Determine","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","Domain does not have an SPF record. To prevent abuse of this domain, please add an SPF record to it.","We couldn't find a DKIM record associated with your domain.","noeca.mx.esu.k12.oh.us","","",""
"delphoscityschools.org","Google","Direct Delivery","Domain has a DMARC record and it is set to p=quarantine. To fully take advantage of DMARC, the policy should be set to p=reject.","An SPF-record is configured but the policy is not sufficiently strict.","DKIM-record found.","aspmx.l.google.com","v=spf1 ip4:208.108.245.26 ip4:66.114.1.4 include:_spf.google.com include:customerspf.schoolmessenger.com include:groups.io ~all","v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCsjO/eU4yEHxqsoOz9Tt69YXQ0xEloqVHhCGL/twJAjRyT55toupNOGPY8xZb78Z2aXJinkmzfMZLD6l1tGbNWiqxis7895w9sw2OZlwBtd6GJ0+bZ6cEJVQCvnzKZI/JYjiRI/08Tc7ombgcGkOk/rlVZI340dVnP86Tge0r0rwIDAQAB","v=DMARC1; p=quarantine; rua=mailto:mclark@delphoscityschools.org"
"celinaschools.org","Google","Direct Delivery","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","An SPF-record is configured but the policy is not sufficiently strict.","DKIM-record found.","aspmx.l.google.com","v=spf1 ip4:66.114.1.4 ip4:208.108.245.26 include:_spf.google.com ~all","v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApX1r6pSWKKI5qjVl3MHkKYxD9hEy5O2nHGtLznucsqC0shKoy53Eq c9MKL118E4SOg37T+Cg4Jyl10+rQbUtbx+gAEMFz+YRlvNzF+73XOu8Y7nrzFUoZTCb+vRMX9vFP8z8c+mZuA0GEAlMwznmXS4 KZq2as4iykDC11jafBryLtZiabIhgzJ2qOZ3vbgSZIL5ETNMedx5xPvA4MqO1vP7OV0wzSAkl2jIEt2voSGdsDRpXmNbxIAZ5qC9MA QlvtwKNVYmrMM7fm6lvoVlApbPBZKNMSN+NTPYl8ocvfkSNeKbJDp+Hrhq3k41joXKPxYPGzIxBJ7+43VSk75DYrwIDAQAB",""
"minsterbank.com","Office365 -Based on SPF","MimeCast","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","An SPF-record is configured but the policy is not sufficiently strict.","We couldn't find a DKIM record associated with your domain.","us-smtp-inbound-2.mimecast.com","v=spf1 include:spf.protection.outlook.com include:us._netblocks.mimecast.com include:spf.cashedge.com a mx ip4:50.31.63.161 ~all","",""
"access-k12.org","Google","Direct Delivery","Domain has a DMARC record and your DMARC policy will prevent abuse of your domain by phishers and spammers. ","An SPF-record is configured but the policy is not sufficiently strict.","DKIM-record found.","aspmx.l.google.com","v=spf1 a:m.mcoecn.org include:_spf.google.com include:spf.schoolwires.net ~all","v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuNi5V8aWsnjmwSu9zmIuN1BC+b7no6lm4k2GV+bymPZkScaJ6oqX4ZKbFo4fsz17X4S+Oo9TTqvWy7Uyi0c8ExYuLHTgHz8TI/KZ80yTrQxGZUuLwUdkbjn9mGeC8eg6KQ5m4icR3x+BW2McaD1MBHF+hTD2ixnskfTTNWXUp5I6aFwKXTB2GmG/wmC42QVKF z5UqPwxgSVXFJGX6fYL3VHwmyXx5LWje8w8eHmPuQ+n7WojAdPwrXdZfwS1xUhs+otCyrbTmrgfbtnGNJ29BbS5dE2yMkTiNeNBZDSQjnNeyoS0S1LV3d8c3mbTIEqqcLBlrO9VGGCFsQrb8wBv5QIDAQAB v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuNi5V8aWsnjmwSu9zmIuN1BC+b7no6lm4k2GV+bymPZkScaJ6oqX4ZKbFo4fsz17X4S+Oo9TTqvWy7Uyi0c8ExYuLHTgHz8TI/KZ80yTrQxGZUuLwUdkbjn9mGeC8eg6KQ5m4icR3x +BW2McaD1MBHF+hTD2ixnskfTTNWXUp5I6aFwKXTB2GmG/wmC42QVKFz5UqPwxgSVXFJGX6fYL3VHwmyXx5LWje8w8eHmPuQ+n7WojAdPwrXdZfwS1xUhs+otCyrbTmrgfbtnGNJ29BbS5dE2yMkTiNeNBZDSQjnNeyoS0S1LV3d8c3mbTIEqqcLBlrO9VGGCFsQrb8wBv5QIDAQAB","v=DMARC1; p=reject; pct=100; rua=mailto:tech@access-k12.org; fo=1; ri=86400"
"pgrockets.org","Google","Direct Delivery","Does not have a DMARC record. This domain is at risk to being abused by phishers and spammers.","Domain does not have an SPF record. To prevent abuse of this domain, please add an SPF record to it.","We couldn't find a DKIM record associated with your domain.","aspmx.l.google.com","","",""
